name	name2	chrom	strand	exonCount	intronCount	intron_number	intron_start	intron_end	length
NR_103740.2	ABCA12	chr2	-	55	54	26	214986728	214987646	918
NR_103740.2	ABCA12	chr2	-	55	54	27	214987793	214989328	1535
NR_103740.2	ABCA12	chr2	-	55	54	28	214989463	214989551	88
NR_103740.2	ABCA12	chr2	-	55	54	29	214989621	214990701	1080
NR_103740.2	ABCA12	chr2	-	55	54	30	214991031	214997694	6663
NR_103740.2	ABCA12	chr2	-	55	54	31	214997809	214999787	1978
NR_103740.2	ABCA12	chr2	-	55	54	32	214999843	215000704	861
NR_103740.2	ABCA12	chr2	-	55	54	33	215001020	215001557	537
NR_103740.2	ABCA12	chr2	-	55	54	34	215001737	215004208	2471
NR_103740.2	ABCA12	chr2	-	55	54	35	215004299	215007726	3427
NR_103740.2	ABCA12	chr2	-	55	54	36	215007846	215010330	2484
NR_103740.2	ABCA12	chr2	-	55	54	37	215010470	215011438	968
NR_103740.2	ABCA12	chr2	-	55	54	38	215011649	215011970	321
NR_103740.2	ABCA12	chr2	-	55	54	39	215012135	215015489	3354
NR_103740.2	ABCA12	chr2	-	55	54	40	215015663	215018007	2344
NR_103740.2	ABCA12	chr2	-	55	54	41	215018132	215019335	1203
NR_103740.2	ABCA12	chr2	-	55	54	42	215019448	215019539	91
NR_103740.2	ABCA12	chr2	-	55	54	43	215019796	215025672	5876
NR_103740.2	ABCA12	chr2	-	55	54	44	215025779	215026819	1040
NR_103740.2	ABCA12	chr2	-	55	54	45	215026938	215031820	4882
NR_103740.2	ABCA12	chr2	-	55	54	46	215031896	215036952	5056
NR_103740.2	ABCA12	chr2	-	55	54	47	215037065	215045836	8771
NR_103740.2	ABCA12	chr2	-	55	54	48	215046015	215049625	3610
NR_103740.2	ABCA12	chr2	-	55	54	49	215049811	215050793	982
NR_103740.2	ABCA12	chr2	-	55	54	50	215050817	215052486	1669
NR_103740.2	ABCA12	chr2	-	55	54	51	215052584	215054572	1988
NR_103740.2	ABCA12	chr2	-	55	54	52	215054664	215064065	9401
NR_103740.2	ABCA12	chr2	-	55	54	53	215064219	215111596	47377
NR_103740.2	ABCA12	chr2	-	55	54	54	215111690	215138139	26449
NR_026675.1	ABCA15P	chr16	+	3	2	1	21301335	21315883	14548
NR_026675.1	ABCA15P	chr16	+	3	2	2	21315970	21316861	891
NR_003574.1	ABCA17P	chr16	+	17	16	1	2341373	2361115	19742
NR_003574.1	ABCA17P	chr16	+	17	16	2	2361200	2365680	4480
NR_003574.1	ABCA17P	chr16	+	17	16	3	2365808	2366961	1153
NR_003574.1	ABCA17P	chr16	+	17	16	4	2367124	2370337	3213
NR_003574.1	ABCA17P	chr16	+	17	16	5	2370597	2373953	3356
NR_003574.1	ABCA17P	chr16	+	17	16	6	2374070	2379427	5357
NR_003574.1	ABCA17P	chr16	+	17	16	7	2379581	2386103	6522
NR_003574.1	ABCA17P	chr16	+	17	16	8	2386256	2395839	9583
NR_003574.1	ABCA17P	chr16	+	17	16	9	2395938	2404066	8128
NR_003574.1	ABCA17P	chr16	+	17	16	10	2404228	2406602	2374
NR_003574.1	ABCA17P	chr16	+	17	16	11	2406909	2410175	3266
NR_003574.1	ABCA17P	chr16	+	17	16	12	2410449	2410620	171
NR_003574.1	ABCA17P	chr16	+	17	16	13	2410825	2422579	11754
NR_003574.1	ABCA17P	chr16	+	17	16	14	2422767	2424577	1810
NR_003574.1	ABCA17P	chr16	+	17	16	15	2424767	2424976	209
NR_003574.1	ABCA17P	chr16	+	17	16	16	2425086	2425558	472
NR_126414.1	ABCA9-AS1	chr17	+	4	3	1	69004793	69011982	7189
NR_126414.1	ABCA9-AS1	chr17	+	4	3	2	69012103	69012251	148
NR_126414.1	ABCA9-AS1	chr17	+	4	3	3	69012353	69018103	5750
NR_146762.2	ABCC10	chr6	+	20	19	1	43427967	43433234	5267
NR_146762.2	ABCC10	chr6	+	20	19	2	43433360	43434620	1260
NR_146762.2	ABCC10	chr6	+	20	19	3	43434848	43435750	902
NR_146762.2	ABCC10	chr6	+	20	19	4	43435907	43436137	230
NR_146762.2	ABCC10	chr6	+	20	19	5	43436247	43437933	1686
NR_146762.2	ABCC10	chr6	+	20	19	6	43438013	43438623	610
NR_146762.2	ABCC10	chr6	+	20	19	7	43438795	43441861	3066
NR_146762.2	ABCC10	chr6	+	20	19	8	43441960	43442969	1009
NR_146762.2	ABCC10	chr6	+	20	19	9	43443159	43443932	773
NR_146762.2	ABCC10	chr6	+	20	19	10	43444010	43444158	148
NR_146762.2	ABCC10	chr6	+	20	19	11	43444353	43444787	434
NR_146762.2	ABCC10	chr6	+	20	19	12	43444938	43445598	660
NR_146762.2	ABCC10	chr6	+	20	19	13	43445942	43446276	334
NR_146762.2	ABCC10	chr6	+	20	19	14	43446446	43447247	801
NR_146762.2	ABCC10	chr6	+	20	19	15	43447408	43447683	275
NR_146762.2	ABCC10	chr6	+	20	19	16	43447937	43448880	943
NR_146762.2	ABCC10	chr6	+	20	19	17	43449026	43449106	80
NR_146762.2	ABCC10	chr6	+	20	19	18	43449204	43449421	217
NR_146762.2	ABCC10	chr6	+	20	19	19	43449534	43449928	394
NR_171633.1	ABCC12	chr16	-	29	28	1	48083801	48083908	107
NR_171633.1	ABCC12	chr16	-	29	28	2	48084073	48085592	1519
NR_171633.1	ABCC12	chr16	-	29	28	3	48085706	48086740	1034
NR_171633.1	ABCC12	chr16	-	29	28	4	48086819	48087925	1106
NR_171633.1	ABCC12	chr16	-	29	28	5	48088085	48088544	459
NR_171633.1	ABCC12	chr16	-	29	28	6	48088734	48091119	2385
NR_171633.1	ABCC12	chr16	-	29	28	7	48091209	48096745	5536
NR_171633.1	ABCC12	chr16	-	29	28	8	48096932	48100871	3939
NR_171633.1	ABCC12	chr16	-	29	28	9	48101009	48104141	3132
NR_171633.1	ABCC12	chr16	-	29	28	10	48104368	48105138	770
NR_171633.1	ABCC12	chr16	-	29	28	11	48105336	48107321	1985
NR_171633.1	ABCC12	chr16	-	29	28	12	48107425	48108439	1014
NR_171633.1	ABCC12	chr16	-	29	28	13	48108529	48111435	2906
NR_171633.1	ABCC12	chr16	-	29	28	14	48111507	48111586	79
NR_171633.1	ABCC12	chr16	-	29	28	15	48111662	48111775	113
NR_171633.1	ABCC12	chr16	-	29	28	16	48111910	48115414	3504
NR_171633.1	ABCC12	chr16	-	29	28	17	48115618	48117260	1642
NR_171633.1	ABCC12	chr16	-	29	28	18	48117333	48121715	4382
NR_171633.1	ABCC12	chr16	-	29	28	19	48121840	48124212	2372
NR_171633.1	ABCC12	chr16	-	29	28	20	48124284	48128458	4174
NR_171633.1	ABCC12	chr16	-	29	28	21	48128737	48130787	2050
NR_171633.1	ABCC12	chr16	-	29	28	22	48130895	48133686	2791
NR_171633.1	ABCC12	chr16	-	29	28	23	48133835	48138227	4392
NR_171633.1	ABCC12	chr16	-	29	28	24	48138375	48139162	787
NR_171633.1	ABCC12	chr16	-	29	28	25	48139336	48140686	1350
NR_171633.1	ABCC12	chr16	-	29	28	26	48140920	48141205	285
NR_171633.1	ABCC12	chr16	-	29	28	27	48141353	48143909	2556
NR_171633.1	ABCC12	chr16	-	29	28	28	48144065	48146305	2240
NR_003087.1	ABCC13	chr21	+	6	5	1	14274157	14279595	5438
NR_003087.1	ABCC13	chr21	+	6	5	2	14279657	14287549	7892
NR_003087.1	ABCC13	chr21	+	6	5	3	14287697	14288403	706
NR_003087.1	ABCC13	chr21	+	6	5	4	14288546	14291569	3023
NR_003087.1	ABCC13	chr21	+	6	5	5	14291747	14299437	7690
NR_135125.2	ABCC5	chr3	-	7	6	1	183984894	183985303	409
NR_135125.2	ABCC5	chr3	-	7	6	2	183985455	183987769	2314
NR_135125.2	ABCC5	chr3	-	7	6	3	183987917	183988571	654
NR_135125.2	ABCC5	chr3	-	7	6	4	183988727	183989225	498
NR_135125.2	ABCC5	chr3	-	7	6	5	183989383	184014263	24880
NR_135125.2	ABCC5	chr3	-	7	6	6	184014447	184017829	3382
NR_046570.1	ABCC5-AS1	chr3	+	3	2	1	184006461	184010450	3989
NR_046570.1	ABCC5-AS1	chr3	+	3	2	2	184010641	184011265	624
NR_147784.1	ABCC6	chr16	-	29	28	1	16150241	16150577	336
NR_147784.1	ABCC6	chr16	-	29	28	2	16150772	16154627	3855
NR_147784.1	ABCC6	chr16	-	29	28	3	16154794	16154872	78
NR_147784.1	ABCC6	chr16	-	29	28	4	16155031	16157662	2631
NR_147784.1	ABCC6	chr16	-	29	28	5	16157809	16159481	1672
NR_147784.1	ABCC6	chr16	-	29	28	6	16159583	16161437	1854
NR_147784.1	ABCC6	chr16	-	29	28	7	16161564	16165622	4058
NR_147784.1	ABCC6	chr16	-	29	28	8	16165933	16169645	3712
NR_147784.1	ABCC6	chr16	-	29	28	9	16169853	16173283	3430
NR_147784.1	ABCC6	chr16	-	29	28	10	16173404	16175910	2506
NR_147784.1	ABCC6	chr16	-	29	28	11	16175986	16178797	2811
NR_147784.1	ABCC6	chr16	-	29	28	12	16178965	16182411	3446
NR_147784.1	ABCC6	chr16	-	29	28	13	16182588	16182803	215
NR_147784.1	ABCC6	chr16	-	29	28	14	16182930	16184958	2028
NR_147784.1	ABCC6	chr16	-	29	28	15	16185034	16187123	2089
NR_147784.1	ABCC6	chr16	-	29	28	16	16187211	16188830	1619
NR_147784.1	ABCC6	chr16	-	29	28	17	16188974	16190163	1189
NR_147784.1	ABCC6	chr16	-	29	28	18	16190367	16192829	2462
NR_147784.1	ABCC6	chr16	-	29	28	19	16192922	16198020	5098
NR_147784.1	ABCC6	chr16	-	29	28	20	16198182	16202000	3818
NR_147784.1	ABCC6	chr16	-	29	28	21	16202178	16203409	1231
NR_147784.1	ABCC6	chr16	-	29	28	22	16203613	16208727	5114
NR_147784.1	ABCC6	chr16	-	29	28	23	16208859	16212184	3325
NR_147784.1	ABCC6	chr16	-	29	28	24	16212246	16214323	2077
NR_147784.1	ABCC6	chr16	-	29	28	25	16214449	16219553	5104
NR_147784.1	ABCC6	chr16	-	29	28	26	16219682	16219821	139
NR_147784.1	ABCC6	chr16	-	29	28	27	16219947	16221648	1701
NR_147784.1	ABCC6	chr16	-	29	28	28	16221831	16223398	1567
NR_003569.1	ABCC6P1	chr16	+	10	9	1	18571311	18572876	1565
NR_003569.1	ABCC6P1	chr16	+	10	9	2	18573060	18574760	1700
NR_003569.1	ABCC6P1	chr16	+	10	9	3	18574886	18575025	139
NR_003569.1	ABCC6P1	chr16	+	10	9	4	18575154	18580209	5055
NR_003569.1	ABCC6P1	chr16	+	10	9	5	18580335	18582405	2070
NR_003569.1	ABCC6P1	chr16	+	10	9	6	18582467	18585805	3338
NR_003569.1	ABCC6P1	chr16	+	10	9	7	18585937	18591103	5166
NR_003569.1	ABCC6P1	chr16	+	10	9	8	18591307	18592538	1231
NR_003569.1	ABCC6P1	chr16	+	10	9	9	18592716	18596766	4050
NR_023387.2	ABCC6P2	chr16	-	2	1	1	14823068	14824633	1565
NR_147094.2	ABCC8	chr11	-	38	37	1	17393128	17393696	568
NR_147094.2	ABCC8	chr11	-	38	37	2	17393759	17394265	506
NR_147094.2	ABCC8	chr11	-	38	37	3	17394399	17395171	772
NR_147094.2	ABCC8	chr11	-	38	37	4	17395275	17395609	334
NR_147094.2	ABCC8	chr11	-	38	37	5	17395718	17395851	133
NR_147094.2	ABCC8	chr11	-	38	37	6	17395930	17396915	985
NR_147094.2	ABCC8	chr11	-	38	37	7	17397313	17397683	370
NR_147094.2	ABCC8	chr11	-	38	37	8	17397797	17398338	541
NR_147094.2	ABCC8	chr11	-	38	37	9	17398441	17402660	4219
NR_147094.2	ABCC8	chr11	-	38	37	10	17402753	17404511	1758
NR_147094.2	ABCC8	chr11	-	38	37	11	17404669	17405493	824
NR_147094.2	ABCC8	chr11	-	38	37	12	17405563	17406621	1058
NR_147094.2	ABCC8	chr11	-	38	37	13	17406788	17406887	99
NR_147094.2	ABCC8	chr11	-	38	37	14	17407209	17407353	144
NR_147094.2	ABCC8	chr11	-	38	37	15	17407453	17408391	938
NR_147094.2	ABCC8	chr11	-	38	37	16	17408517	17410515	1998
NR_147094.2	ABCC8	chr11	-	38	37	17	17410653	17412665	2012
NR_147094.2	ABCC8	chr11	-	38	37	18	17412746	17413393	647
NR_147094.2	ABCC8	chr11	-	38	37	19	17413478	17414511	1033
NR_147094.2	ABCC8	chr11	-	38	37	20	17414610	17415303	693
NR_147094.2	ABCC8	chr11	-	38	37	21	17415339	17416929	1590
NR_147094.2	ABCC8	chr11	-	38	37	22	17416965	17427048	10083
NR_147094.2	ABCC8	chr11	-	38	37	23	17427154	17427866	712
NR_147094.2	ABCC8	chr11	-	38	37	24	17427942	17428288	346
NR_147094.2	ABCC8	chr11	-	38	37	25	17428405	17428564	159
NR_147094.2	ABCC8	chr11	-	38	37	26	17428670	17430813	2143
NR_147094.2	ABCC8	chr11	-	38	37	27	17430959	17432203	1244
NR_147094.2	ABCC8	chr11	-	38	37	28	17432244	17442719	10475
NR_147094.2	ABCC8	chr11	-	38	37	29	17442882	17443177	295
NR_147094.2	ABCC8	chr11	-	38	37	30	17443312	17448515	5203
NR_147094.2	ABCC8	chr11	-	38	37	31	17448671	17453118	4447
NR_147094.2	ABCC8	chr11	-	38	37	32	17453283	17460487	7204
NR_147094.2	ABCC8	chr11	-	38	37	33	17460676	17461585	909
NR_147094.2	ABCC8	chr11	-	38	37	34	17461825	17463437	1612
NR_147094.2	ABCC8	chr11	-	38	37	35	17463604	17470100	6496
NR_147094.2	ABCC8	chr11	-	38	37	36	17470222	17474885	4663
NR_147094.2	ABCC8	chr11	-	38	37	37	17475027	17476628	1601
NR_182045.1	ABCD2	chr12	-	10	9	1	39554131	39573715	19584
NR_182045.1	ABCD2	chr12	-	10	9	2	39573841	39579534	5693
NR_182045.1	ABCD2	chr12	-	10	9	3	39579619	39586151	6532
NR_182045.1	ABCD2	chr12	-	10	9	4	39586297	39600570	14273
NR_182045.1	ABCD2	chr12	-	10	9	5	39600716	39603791	3075
NR_182045.1	ABCD2	chr12	-	10	9	6	39604006	39604761	755
NR_182045.1	ABCD2	chr12	-	10	9	7	39604930	39607598	2668
NR_182045.1	ABCD2	chr12	-	10	9	8	39607714	39616987	9273
NR_182045.1	ABCD2	chr12	-	10	9	9	39617168	39618676	1508
NR_148472.2	ABCD4	chr14	-	18	17	1	74286529	74286700	171
NR_148472.2	ABCD4	chr14	-	18	17	2	74286816	74287809	993
NR_148472.2	ABCD4	chr14	-	18	17	3	74287886	74288206	320
NR_148472.2	ABCD4	chr14	-	18	17	4	74288259	74288715	456
NR_148472.2	ABCD4	chr14	-	18	17	5	74288765	74289482	717
NR_148472.2	ABCD4	chr14	-	18	17	6	74289519	74290290	771
NR_148472.2	ABCD4	chr14	-	18	17	7	74290499	74292286	1787
NR_148472.2	ABCD4	chr14	-	18	17	8	74292376	74292550	174
NR_148472.2	ABCD4	chr14	-	18	17	9	74292642	74292747	105
NR_148472.2	ABCD4	chr14	-	18	17	10	74292869	74293153	284
NR_148472.2	ABCD4	chr14	-	18	17	11	74293248	74295147	1899
NR_148472.2	ABCD4	chr14	-	18	17	12	74295198	74295853	655
NR_148472.2	ABCD4	chr14	-	18	17	13	74295979	74296332	353
NR_148472.2	ABCD4	chr14	-	18	17	14	74296449	74297975	1526
NR_148472.2	ABCD4	chr14	-	18	17	15	74298069	74299547	1478
NR_148472.2	ABCD4	chr14	-	18	17	16	74299675	74300149	474
NR_148472.2	ABCD4	chr14	-	18	17	17	74300268	74302874	2606
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	1	151208107	151211116	3009
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	2	151211208	151214057	2849
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	3	151214191	151214878	687
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	4	151215082	151215603	521
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	5	151215732	151215966	234
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	6	151216029	151218080	2051
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	7	151218191	151218560	369
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	8	151218650	151218753	103
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	9	151218873	151219063	190
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	10	151219159	151221577	2418
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	11	151221680	151222520	840
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	12	151222616	151223677	1061
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	13	151223849	151223931	82
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	14	151224114	151224775	661
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	15	151224988	151226304	1316
NR_160983.1	ABCF2-H2BK1	chr7	-	17	16	16	151226500	151227162	662
NR_073570.2	ABHD10	chr3	+	4	3	1	111979203	111986263	7060
NR_073570.2	ABHD10	chr3	+	4	3	2	111986375	111986913	538
NR_073570.2	ABHD10	chr3	+	4	3	3	111987051	111991376	4325
NR_169872.1	ABHD11	chr7	-	6	5	1	73736691	73736928	237
NR_169872.1	ABHD11	chr7	-	6	5	2	73737110	73737220	110
NR_169872.1	ABHD11	chr7	-	6	5	3	73737391	73737561	170
NR_169872.1	ABHD11	chr7	-	6	5	4	73737735	73738332	597
NR_169872.1	ABHD11	chr7	-	6	5	5	73738463	73738645	182
NR_033488.2	ABHD16A	chr6	-	20	19	1	31687295	31687497	202
NR_033488.2	ABHD16A	chr6	-	20	19	2	31687544	31687641	97
NR_033488.2	ABHD16A	chr6	-	20	19	3	31687740	31687823	83
NR_033488.2	ABHD16A	chr6	-	20	19	4	31687900	31688040	140
NR_033488.2	ABHD16A	chr6	-	20	19	5	31688103	31688248	145
NR_033488.2	ABHD16A	chr6	-	20	19	6	31688305	31688722	417
NR_033488.2	ABHD16A	chr6	-	20	19	7	31688786	31689014	228
NR_033488.2	ABHD16A	chr6	-	20	19	8	31689119	31689580	461
NR_033488.2	ABHD16A	chr6	-	20	19	9	31689704	31690077	373
NR_033488.2	ABHD16A	chr6	-	20	19	10	31690127	31690538	411
NR_033488.2	ABHD16A	chr6	-	20	19	11	31690602	31691578	976
NR_033488.2	ABHD16A	chr6	-	20	19	12	31691680	31691803	123
NR_033488.2	ABHD16A	chr6	-	20	19	13	31691918	31693026	1108
NR_033488.2	ABHD16A	chr6	-	20	19	14	31693149	31693358	209
NR_033488.2	ABHD16A	chr6	-	20	19	15	31693432	31696947	3515
NR_033488.2	ABHD16A	chr6	-	20	19	16	31697033	31700941	3908
NR_033488.2	ABHD16A	chr6	-	20	19	17	31701028	31701273	245
NR_033488.2	ABHD16A	chr6	-	20	19	18	31701340	31702073	733
NR_033488.2	ABHD16A	chr6	-	20	19	19	31702130	31702611	481
NR_171626.1	ABHD4	chr14	+	8	7	1	22598329	22601666	3337
NR_171626.1	ABHD4	chr14	+	8	7	2	22601755	22603389	1634
NR_171626.1	ABHD4	chr14	+	8	7	3	22603496	22603611	115
NR_171626.1	ABHD4	chr14	+	8	7	4	22603762	22603924	162
NR_171626.1	ABHD4	chr14	+	8	7	5	22604079	22606421	2342
NR_171626.1	ABHD4	chr14	+	8	7	6	22606533	22609723	3190
NR_171626.1	ABHD4	chr14	+	8	7	7	22609910	22610858	948
NR_158560.1	ABHD5	chr3	+	6	5	1	43691039	43699275	8236
NR_158560.1	ABHD5	chr3	+	6	5	2	43699361	43702214	2853
NR_158560.1	ABHD5	chr3	+	6	5	3	43702587	43711708	9121
NR_158560.1	ABHD5	chr3	+	6	5	4	43711863	43717670	5807
NR_158560.1	ABHD5	chr3	+	6	5	5	43717857	43718442	585
NR_145410.2	ABI1	chr10	-	12	11	1	26748745	26751597	2852
NR_145410.2	ABI1	chr10	-	12	11	2	26751783	26755654	3871
NR_145410.2	ABI1	chr10	-	12	11	3	26755741	26759061	3320
NR_145410.2	ABI1	chr10	-	12	11	4	26759235	26764509	5274
NR_145410.2	ABI1	chr10	-	12	11	5	26764639	26765217	578
NR_145410.2	ABI1	chr10	-	12	11	6	26765318	26768851	3533
NR_145410.2	ABI1	chr10	-	12	11	7	26768992	26770244	1252
NR_145410.2	ABI1	chr10	-	12	11	8	26770345	26771074	729
NR_145410.2	ABI1	chr10	-	12	11	9	26771089	26777064	5975
NR_145410.2	ABI1	chr10	-	12	11	10	26777241	26823137	45896
NR_145410.2	ABI1	chr10	-	12	11	11	26823305	26860746	37441
NR_164707.1	ABI2	chr2	+	13	12	1	203328631	203366876	38245
NR_164707.1	ABI2	chr2	+	13	12	2	203367044	203380207	13163
NR_164707.1	ABI2	chr2	+	13	12	3	203380384	203382188	1804
NR_164707.1	ABI2	chr2	+	13	12	4	203382206	203383242	1036
NR_164707.1	ABI2	chr2	+	13	12	5	203383321	203391045	7724
NR_164707.1	ABI2	chr2	+	13	12	6	203391143	203394699	3556
NR_164707.1	ABI2	chr2	+	13	12	7	203394846	203395655	809
NR_164707.1	ABI2	chr2	+	13	12	8	203395780	203396784	1004
NR_164707.1	ABI2	chr2	+	13	12	9	203396967	203402575	5608
NR_164707.1	ABI2	chr2	+	13	12	10	203402734	203416907	14173
NR_164707.1	ABI2	chr2	+	13	12	11	203417081	203427176	10095
NR_164707.1	ABI2	chr2	+	13	12	12	203427269	203427495	226
NR_187271.1	ABR-AS1	chr17	+	3	2	1	1181928	1182266	338
